1,20127001,Nguyen Tuan Anh,male,01/03/2002,314546714
2,20127002,Vo Thi Diem Trinh,female,02/05/2002,321004526
3,20127003,Do Ngoc Kieu My,female,12/04/2002,342515647
4,20127004,Huynh Van Son,male,07/12/2002,312478965
5,20127005,Bui Thi Thanh Ha,female,15/06/2002,321412356
6,20127006,Chu Vinh Dung,male,19/01/2002,311457883
7,20127007,Doan Nguyen Bao An,male,16/04/2002,312164785
8,20127008,Nguyen Thi Bao Ngoc,female,15/07/2002,321145678
9,20127009,Tran Thi Lan Anh,female,11/10/2002,311145267
10,20127010,Tran Trung Nghia,male,20/06/2002,3114523689
